condition,artifact,level,patient_id,modality,mse,psnr
contrast_L10,contrast,10,BraTS20_Training_001,flair,0.05236849561333656,12.809299018711096
contrast_L10,contrast,10,BraTS20_Training_001,t1,0.0555143766105175,12.555945326596621
contrast_L10,contrast,10,BraTS20_Training_001,t1ce,0.032892756164073944,14.82899734401264
contrast_L10,contrast,10,BraTS20_Training_001,t2,0.0868304967880249,10.613277142176676
contrast_L10,contrast,10,BraTS20_Training_004,flair,0.062182556837797165,12.063314244974453
contrast_L10,contrast,10,BraTS20_Training_004,t1,0.04487067833542824,13.480373649419302
contrast_L10,contrast,10,BraTS20_Training_004,t1ce,0.03025168366730213,15.192504495381073
contrast_L10,contrast,10,BraTS20_Training_004,t2,0.08931087702512741,10.490956458782305
contrast_L10,contrast,10,BraTS20_Training_006,flair,0.05137394741177559,12.892570631779783
contrast_L10,contrast,10,BraTS20_Training_006,t1,0.05092131718993187,12.931003709076137
contrast_L10,contrast,10,BraTS20_Training_006,t1ce,0.02770315296947956,15.574707999131396
contrast_L10,contrast,10,BraTS20_Training_006,t2,0.09107880294322968,10.40582685990209
contrast_L10,contrast,10,BraTS20_Training_010,flair,0.028720198199152946,15.41812567337069
contrast_L10,contrast,10,BraTS20_Training_010,t1,0.04795484617352486,13.191674977723384
contrast_L10,contrast,10,BraTS20_Training_010,t1ce,0.03100842982530594,15.0852022458725
contrast_L10,contrast,10,BraTS20_Training_010,t2,0.06932046264410019,11.591385474712581
contrast_L10,contrast,10,BraTS20_Training_016,flair,0.038594186305999756,14.13478111011715
contrast_L10,contrast,10,BraTS20_Training_016,t1,0.04212643951177597,13.754452454953379
contrast_L10,contrast,10,BraTS20_Training_016,t1ce,0.05363078415393829,12.705858530231584
contrast_L10,contrast,10,BraTS20_Training_016,t2,0.05539703741669655,12.565134603254378
contrast_L6,contrast,6,BraTS20_Training_001,flair,0.03489777818322182,14.5720222213774
contrast_L6,contrast,6,BraTS20_Training_001,t1,0.03699418902397156,14.318664887173359
contrast_L6,contrast,6,BraTS20_Training_001,t1ce,0.021919380873441696,16.591717169324323
contrast_L6,contrast,6,BraTS20_Training_001,t2,0.057862792164087296,12.37600613339302
contrast_L6,contrast,6,BraTS20_Training_004,flair,0.041437745094299316,13.826038854961123
contrast_L6,contrast,6,BraTS20_Training_004,t1,0.029901383444666862,15.243087177462886
contrast_L6,contrast,6,BraTS20_Training_004,t1ce,0.020159529522061348,16.955196075616733
contrast_L6,contrast,6,BraTS20_Training_004,t2,0.05951573699712753,12.253681840637974
contrast_L6,contrast,6,BraTS20_Training_006,flair,0.03423503041267395,14.655292819911823
contrast_L6,contrast,6,BraTS20_Training_006,t1,0.03393343463540077,14.69372180210183
contrast_L6,contrast,6,BraTS20_Training_006,t1ce,0.018461160361766815,17.337410052128874
contrast_L6,contrast,6,BraTS20_Training_006,t2,0.0606938935816288,12.168550011357226
contrast_L6,contrast,6,BraTS20_Training_010,flair,0.019138792529702187,17.180854654217264
contrast_L6,contrast,6,BraTS20_Training_010,t1,0.03195658326148987,14.954396608350356
contrast_L6,contrast,6,BraTS20_Training_010,t1ce,0.020663725212216377,16.847913820772675
contrast_L6,contrast,6,BraTS20_Training_010,t2,0.046194374561309814,13.354109085506407
contrast_L6,contrast,6,BraTS20_Training_016,flair,0.025718769058585167,15.897498212788028
contrast_L6,contrast,6,BraTS20_Training_016,t1,0.028072569519281387,15.517178339999639
contrast_L6,contrast,6,BraTS20_Training_016,t1ce,0.0357389822602272,14.468578190676629
contrast_L6,contrast,6,BraTS20_Training_016,t2,0.036915987730026245,14.327855070339794
contrast_L7,contrast,7,BraTS20_Training_001,flair,0.039396267384290695,14.045449236362767
contrast_L7,contrast,7,BraTS20_Training_001,t1,0.041763272136449814,13.792054818656467
contrast_L7,contrast,7,BraTS20_Training_001,t1ce,0.024744855239987373,16.065150825139114
contrast_L7,contrast,7,BraTS20_Training_001,t2,0.06532169133424759,11.849425788707455
contrast_L7,contrast,7,BraTS20_Training_004,flair,0.046779293566942215,13.29946340934206
contrast_L7,contrast,7,BraTS20_Training_004,t1,0.033755823969841,14.716512865438407
contrast_L7,contrast,7,BraTS20_Training_004,t1ce,0.022758057340979576,16.428648126680415
contrast_L7,contrast,7,BraTS20_Training_004,t2,0.06718768924474716,11.727102951435205
contrast_L7,contrast,7,BraTS20_Training_006,flair,0.03864814713597298,14.128713221314644
contrast_L7,contrast,7,BraTS20_Training_006,t1,0.03830762952566147,14.167147213078717
contrast_L7,contrast,7,BraTS20_Training_006,t1ce,0.020840974524617195,16.8108197727422
contrast_L7,contrast,7,BraTS20_Training_006,t2,0.06851763278245926,11.641976498990928
contrast_L7,contrast,7,BraTS20_Training_010,flair,0.021605968475341797,16.654262619114178
