condition,artifact,level,patient_id,modality,mse,psnr
blur_L5,blur,5,BraTS20_Training_001,flair,0.006777596194297075,21.68924309770208
blur_L5,blur,5,BraTS20_Training_001,t1,0.012876265682280064,18.9021007088377
blur_L5,blur,5,BraTS20_Training_001,t1ce,0.01155210379511118,19.373389176413404
blur_L5,blur,5,BraTS20_Training_001,t2,0.008279632776975632,20.819889248660616
blur_L5,blur,5,BraTS20_Training_004,flair,0.005733702797442675,22.415648221631326
blur_L5,blur,5,BraTS20_Training_004,t1,0.011572888121008873,19.36558245327096
blur_L5,blur,5,BraTS20_Training_004,t1ce,0.012000243179500103,19.208099530819656
blur_L5,blur,5,BraTS20_Training_004,t2,0.010408129543066025,19.826273110382623
blur_L5,blur,5,BraTS20_Training_006,flair,0.007452224846929312,21.277140501381776
blur_L5,blur,5,BraTS20_Training_006,t1,0.013766364194452763,18.611807452029623
blur_L5,blur,5,BraTS20_Training_006,t1ce,0.012651024386286736,18.978743071127152
blur_L5,blur,5,BraTS20_Training_006,t2,0.013265766203403473,18.772676610001405
blur_L5,blur,5,BraTS20_Training_010,flair,0.01855030283331871,17.31648996142427
blur_L5,blur,5,BraTS20_Training_010,t1,0.012572292238473892,19.005855325159338
blur_L5,blur,5,BraTS20_Training_010,t1ce,0.012520372867584229,19.023827372659234
blur_L5,blur,5,BraTS20_Training_010,t2,0.0169975645840168,17.69613300003604
blur_L5,blur,5,BraTS20_Training_016,flair,0.0040685865096747875,23.90556445239227
blur_L5,blur,5,BraTS20_Training_016,t1,0.010879719629883766,19.633822962521105
blur_L5,blur,5,BraTS20_Training_016,t1ce,0.009184194728732109,20.369589166798484
blur_L5,blur,5,BraTS20_Training_016,t2,0.012275192886590958,19.109716748527394
blur_L6,blur,6,BraTS20_Training_001,flair,0.008085538633167744,20.92291043460652
blur_L6,blur,6,BraTS20_Training_001,t1,0.015712568536400795,18.037528149597165
blur_L6,blur,6,BraTS20_Training_001,t1ce,0.013274472206830978,18.76982737456865
blur_L6,blur,6,BraTS20_Training_001,t2,0.01003976259380579,19.98276556655057
blur_L6,blur,6,BraTS20_Training_004,flair,0.0067458851262927055,21.709610585577224
blur_L6,blur,6,BraTS20_Training_004,t1,0.01404394581913948,18.525108546904615
blur_L6,blur,6,BraTS20_Training_004,t1ce,0.013397582806646824,18.729735500254485
blur_L6,blur,6,BraTS20_Training_004,t2,0.012142307125031948,19.15698786368379
blur_L6,blur,6,BraTS20_Training_006,flair,0.008603338152170181,20.653330069219777
blur_L6,blur,6,BraTS20_Training_006,t1,0.016741596162319183,17.762031382519016
blur_L6,blur,6,BraTS20_Training_006,t1ce,0.014482672326266766,18.39151295219619
blur_L6,blur,6,BraTS20_Training_006,t2,0.015304269269108772,18.15187401771971
blur_L6,blur,6,BraTS20_Training_010,flair,0.021005816757678986,16.776604273629857
blur_L6,blur,6,BraTS20_Training_010,t1,0.015155469998717308,18.194305908249394
blur_L6,blur,6,BraTS20_Training_010,t1ce,0.013843742199242115,18.58746496815721
blur_L6,blur,6,BraTS20_Training_010,t2,0.019256168976426125,17.154301117023113
blur_L6,blur,6,BraTS20_Training_016,flair,0.004933641757816076,23.068323887441583
blur_L6,blur,6,BraTS20_Training_016,t1,0.01312731858342886,18.818239748508606
blur_L6,blur,6,BraTS20_Training_016,t1ce,0.01044625137001276,19.810395278675898
blur_L6,blur,6,BraTS20_Training_016,t2,0.014424962922930717,18.408852944555786
blur_L7,blur,7,BraTS20_Training_001,flair,0.009334203787147999,20.299227216994453
blur_L7,blur,7,BraTS20_Training_001,t1,0.01834116131067276,17.36573169492084
blur_L7,blur,7,BraTS20_Training_001,t1ce,0.014820259995758533,18.291441773463806
blur_L7,blur,7,BraTS20_Training_001,t2,0.01169808954000473,19.318850587650424
blur_L7,blur,7,BraTS20_Training_004,flair,0.007684413809329271,21.14389256216733
blur_L7,blur,7,BraTS20_Training_004,t1,0.016281621530652046,17.883023447327155
blur_L7,blur,7,BraTS20_Training_004,t1ce,0.014625686220824718,18.348837481568243
blur_L7,blur,7,BraTS20_Training_004,t2,0.013683181256055832,18.638129200624583
blur_L7,blur,7,BraTS20_Training_006,flair,0.00965308491140604,20.153338736096543
blur_L7,blur,7,BraTS20_Training_006,t1,0.019463839009404182,17.10771496227698
blur_L7,blur,7,BraTS20_Training_006,t1ce,0.01613529399037361,17.92223117199412
blur_L7,blur,7,BraTS20_Training_006,t2,0.01706455834209919,17.679049474715633
blur_L7,blur,7,BraTS20_Training_010,flair,0.02315927855670452,16.352749736027334
blur_L7,blur,7,BraTS20_Training_010,t1,0.017479307949543,17.57475766189284
blur_L7,blur,7,BraTS20_Training_010,t1ce,0.014956727623939514,18.25163415183026
blur_L7,blur,7,BraTS20_Training_010,t2,0.021138248965144157,16.749309913082545
blur_L7,blur,7,BraTS20_Training_016,flair,0.0057577937841415405,22.39743893472032
blur_L7,blur,7,BraTS20_Training_016,t1,0.015189606696367264,18.184534711542494
blur_L7,blur,7,BraTS20_Training_016,t1ce,0.011558118276298046,19.371128656335433
blur_L7,blur,7,BraTS20_Training_016,t2,0.016324661672115326,17.871558106933772
blur_L8,blur,8,BraTS20_Training_001,flair,0.010534248314797878,19.773964486066514
blur_L8,blur,8,BraTS20_Training_001,t1,0.02081410214304924,16.816423185139044
blur_L8,blur,8,BraTS20_Training_001,t1ce,0.016235794872045517,17.895264443282358
blur_L8,blur,8,BraTS20_Training_001,t2,0.013264932669699192,18.77294950073082
blur_L8,blur,8,BraTS20_Training_004,flair,0.008565438911318779,20.672503779547576
blur_L8,blur,8,BraTS20_Training_004,t1,0.018336037173867226,17.366945192377344
blur_L8,blur,8,BraTS20_Training_004,t1ce,0.01574425958096981,18.028777584926722
blur_L8,blur,8,BraTS20_Training_004,t2,0.015072097070515156,18.21826317506789
blur_L8,blur,8,BraTS20_Training_006,flair,0.010626072995364666,19.736272050482285
blur_L8,blur,8,BraTS20_Training_006,t1,0.021972764283418655,16.581153032289343
blur_L8,blur,8,BraTS20_Training_006,t1ce,0.017657438293099403,17.53072302789566
blur_L8,blur,8,BraTS20_Training_006,t2,0.018611682578921318,17.3021436294075
blur_L8,blur,8,BraTS20_Training_010,flair,0.025112120434641838,16.001166144800848
blur_L8,blur,8,BraTS20_Training_010,t1,0.019602889195084572,17.076799149184946
blur_L8,blur,8,BraTS20_Training_010,t1ce,0.01593172177672386,17.977372864887087
blur_L8,blur,8,BraTS20_Training_010,t2,0.02274484559893608,16.431170069878032
blur_L8,blur,8,BraTS20_Training_016,flair,0.00654610013589263,21.840173555613195
blur_L8,blur,8,BraTS20_Training_016,t1,0.01710296794772148,17.66928518176734
blur_L8,blur,8,BraTS20_Training_016,t1ce,0.012557480484247208,19.010974881109043
blur_L8,blur,8,BraTS20_Training_016,t2,0.018020659685134888,17.44229314779271
blur_L9,blur,9,BraTS20_Training_001,flair,0.0116915637627244,19.321273974692406
blur_L9,blur,9,BraTS20_Training_001,t1,0.02318059653043747,16.348753920763144
blur_L9,blur,9,BraTS20_Training_001,t1ce,0.01755412295460701,17.556208640334138
blur_L9,blur,9,BraTS20_Training_001,t2,0.014748875983059406,18.312410761573844
blur_L9,blur,9,BraTS20_Training_004,flair,0.009400734677910805,20.26838204475343
blur_L9,blur,9,BraTS20_Training_004,t1,0.02025831863284111,16.93396602350894
blur_L9,blur,9,BraTS20_Training_004,t1ce,0.016789982095360756,17.74949766988227
blur_L9,blur,9,BraTS20_Training_004,t2,0.016339870169758797,17.867513985246156
blur_L9,blur,9,BraTS20_Training_006,flair,0.01153949648141861,19.378131409300487
blur_L9,blur,9,BraTS20_Training_006,t1,0.024319704622030258,16.140417041444245
blur_L9,blur,9,BraTS20_Training_006,t1ce,0.019085926935076714,17.192867430759918
blur_L9,blur,9,BraTS20_Training_006,t2,0.019996272400021553,16.990509556851784
blur_L9,blur,9,BraTS20_Training_010,flair,0.026925917714834213,15.698294857385655
blur_L9,blur,9,BraTS20_Training_010,t1,0.021583952009677887,16.65869033292781
